crate,variant,total_heap_usage,total_heap_allocations,total_heap_reallocations,total_heap_deallocations,unsafe_heap_memory,unsafe_heap_objects,unsafe_load,unsafe_store,unsafe_heap_memory_pct,obj_small_pct,obj_medium_pct,obj_large_pct,obj_total_pct,mem_small_pct,mem_medium_pct,mem_large_pct,mem_total_pct,mem_inst_pct
memchr,with_native,10594070572,275901888,757102,275901888,2712795381,91827542,418970495,186158347,25.6067,33.1922,10.9935,0.0000,33.1916,33.1922,0.7687,0.0000,33.1282,0.6056
memmap2,with_native,135505,961,178,961,10240,5,90,0,7.5569,0.0000,15.1515,0.0000,0.4390,0.0000,6.5789,0.0000,1.1244,0.0481
metrics,with_native,1935279,14907,1755,14891,403786,3182,19954,5812,20.8645,19.2380,10.1167,0.0000,19.0973,19.2380,6.7403,0.0000,17.4634,0.8269
miette,with_native,136838018,911812,29576,904025,124010203,873239,4460994,79919054,90.6255,92.7164,95.1554,0.0000,92.7608,92.7164,87.5837,0.0000,91.7892,3.0632
msgpack-rust,with_native,6776664,8829,658,8793,67990,44,196676,196696,1.0033,0.3522,1.0410,0.0000,0.4638,0.3522,0.8607,0.0000,0.6491,1.0223
native-tls,with_native,6397478,6120,1558,6064,523312,1009,3504140,2925926,8.1800,15.2302,3.7169,50.0000,13.1414,15.2302,2.7474,66.6667,11.9634,10.3068
ndarray,with_native,608966536,60853,16162,60583,497375720,24436,140952410,24915929,81.6754,26.2940,62.4031,89.0457,31.7289,26.2940,84.7172,80.4578,79.2844,1.3947
nom,with_native,43864713,99886,21755,99885,18707227,15483,147786,2233978,42.6476,12.4400,16.1105,0.0000,12.7284,12.4400,28.9531,0.0000,21.2442,1.2384
nu-ansi-term,with_native,6319983,9042,926,9042,67749,65,196674,196649,1.0720,0.5764,1.0907,0.0000,0.6521,0.5764,1.0233,0.0000,0.8109,1.0189
num-bigint,with_native,188069042,7796368,143591,7796276,137695326,3840107,9879112,17791088,73.2153,48.3690,39.9911,50.0000,48.3643,48.3690,33.1007,50.0000,48.3050,1.2843
ordered-float,with_native,1265273,4321,463,4285,295144,10,40032,60023,23.3265,0.1721,0.0000,100.0000,0.2090,0.1721,0.0000,100.0000,9.7918,1.9012
